Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flash flood,KHM,Cambodia,South-eastern Asia,Asia,Mondulkiri and Ratanakiri provinces,Heavy rains,,,2025-10-01,2025-10-02,1
Flood,Flood (General),UKR,Ukraine,Eastern Europe,Europe,Odesa city (Odesa Oblast),Heavy rains,,,2025-09-30,2025-09-30,0
Flood,Flood (General),GEO,Georgia,Western Asia,Asia,Lagodekhi (Kakheti municipality),Heavy rains,,,2025-09-28,2025-10-06,8
Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,"Ayutthaya, Phichit, and Phetchabun",Heavy rain,,Chao Praya River basin,2025-09-23,2025-09-24,1
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,Central Papua and East Java,Heavy rain,"Slide (land, mud, snow, rock)|Storm",,2025-09-19,2025-09-20,1
Flood,Flash flood,HTI,Haiti,Latin America and the Caribbean,Americas,"Chansolme, Port-de-Paix communes",Heavy ains,,,2025-09-16,2025-09-17,1
Flood,Flash flood,IND,India,Southern Asia,Asia,"Dehradun, Champawat, Haridwar, Pauri Garhwal, Bageshwar, Pithoragarh, Nainital, and Udham Singh Nagar districts (Uttarakhand State)",,"Lightening|Slide (land, mud, snow, rock)",,2025-09-15,2025-09-17,2
Flood,Flash flood,GMB,Gambia,Sub-Saharan Africa,Africa,North Bank region,Heavy rain,,,2025-09-10,2025-09-11,1
Flood,Flash flood,MYS,Malaysia,South-eastern Asia,Asia,Sarawak and Sabah states (Borneo Island),Heavy rains,"Slide (land, mud, snow, rock)",,2025-09-08,2025-09-15,7
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"Gianyar, Karangasem, Jembrana, Tabanan, Klungkung, and Badung, with Denpasar (Bali); Flores",Heavy rains,"Slide (land, mud, snow, rock)",,2025-09-08,2025-09-12,4
Flood,Flash flood,SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bonthe, Kenema, Bo, Moyamba, Kono, Falaba, and Koinadugu",Heavy rains,,,2025-08-31,2025-09-05,5
Flood,Flash flood,GMB,Gambia,Sub-Saharan Africa,Africa,"West Coast region, Lower River regions, and Kanifing Municipality (West Banjul region)",Heavy rains,,Upper River and Central River regions,2025-08-30,2025-09-09,10
Flood,Flood (General),SDN,Sudan,Northern Africa,Africa,"River Nile, Sennar States",Heavy rains,,,2025-08-27,2025-08-28,1
Flood,Flood (General),COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kalehe territory (South Kivu province),Heavy rain,"Slide (land, mud, snow, rock)",,2025-08-25,2025-08-27,2
Flood,Flood (General),UGA,Uganda,Sub-Saharan Africa,Africa,"Bulambuli, Sironko, Mbale districts and Mbale city (Mount Elgon sub-region in Eastern Uganda)",Heavy rain,,,2025-08-17,2025-08-19,2
Flood,Flash flood,CHN,China,Eastern Asia,Asia,"Ordos, Bayannnur city (Inner Mongolia autonomous region)",Heavy rain,,,2025-08-16,2025-08-19,3
Flood,Flood (General),IND,India,Southern Asia,Asia,Punjab state,Monsoon rain,"Slide (land, mud, snow, rock)",,2025-08-15,2025-09-19,35
Flood,Flood (General),PAK,Pakistan,Southern Asia,Asia,"Bunner, Bhattagram, Bajur, and Swat districts (Khyber Pakhtunkhwa) Gilgit-Baltistan, Sindh, Azad Jammu and Kashmir provinces",Monsoon rain,,,2025-08-15,2025-08-20,5
Flood,Flash flood,IND,India,Southern Asia,Asia,Kishtwar (Jammu and Kashmir state),Heavy rain,Lightening,,2025-08-14,2025-08-15,1
Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,Asia,"Incheon, Gimpo, and Pocheon cities (Gyeonggi Province); Seoul",Torrential rainfall,,,2025-08-13,2025-08-19,6
Flood,Flood (General),CAF,Central African Republic,Sub-Saharan Africa,Africa,Moyenne Sido (prefecture of Ouham),Heavy rain,,,2025-08-12,2025-08-19,7
Flood,Flash flood,CPV,Cabo Verde,Sub-Saharan Africa,Africa,São Vicente and Santo Antão Islands,Heavy rain from tropical depression (Tropical Storm Erin),"Slide (land, mud, snow, rock)",,2025-08-10,2025-08-11,1
