Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flood (General),MAR,Morocco,Northern Africa,Africa,"Tata, Tiznit, Errachidia, Tinghir and Taroudant provinces",Heavy rains,,,2024-09-06,2024-09-09,3
Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,"Béchar, Elbayadh, Beni Abbes, Tamanrasset, Tiaret, Tindouf, and Naama",Heavy rains,,,2024-09-05,2024-09-09,4
Flood,Flash flood,YEM,Yemen,Western Asia,Asia,Al-Mahwit governorate,Heavy rains,,,2024-08-27,2024-08-29,2
Flood,Flood (General),IND,India,Southern Asia,Asia,"Gujarat, Maharashtra, Tripura States",Monsoon rains,"Slide (land, mud, snow, rock)|Storm",,2024-08-26,2024-08-27,1
Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,Ternate regency (North Maluku province),Heavy rains,,,2024-08-25,2024-08-26,1
Flood,Flood (General),NGA,Nigeria,Sub-Saharan Africa,Africa,"Adamawa, Borno, Bauchi, Sokoto, Zamfara and Jigawa states",Heavy rains,,,2024-08-20,,
Flood,Flash flood,BGD,Bangladesh,Southern Asia,Asia,"Lakshmipur, Cumilla, Feni, and Noakhali districts",Heavy monsoon rains,,,2024-08-19,2024-09-03,15
Flood,Flash flood,IND,India,Southern Asia,Asia,Tripura state,Heavy rains,,,2024-08-19,2024-08-23,4
Flood,Flood (General),CAF,Central African Republic,Sub-Saharan Africa,Africa,"Mbomou, Moyenne-Sido prefectures",Heavy rains,Storm,,2024-08-18,,
Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,"Phetchabun, Chiang Rai, Chiang Mai, Nan, Phayao, Lampang, Phrae, Udon Thani, Rayong, Phuket, Sukhothai and Prae provinces",Heavy rains,"Slide (land, mud, snow, rock)",,2024-08-16,2024-08-26,10
Flood,Flood (General),CHN,China,Eastern Asia,Asia,"Ridi Village (Kangding county, Garzê Tibetan Autonomous Prefecture, Sichuan province)",Heavy rains,"Collapse|Slide (land, mud, snow, rock)",,2024-08-03,2024-08-04,1
Flood,Flood (General),CMR,Cameroon,Sub-Saharan Africa,Africa,Logone et Chari and the Mayo-Danay Divisions (Far North Region ),Heavy rains,,,2024-08-01,2024-09-30,60
Flood,Flood (General),TCD,Chad,Sub-Saharan Africa,Africa,"Batha, Chari-Baguirmi, Logone Oriental, Mayo-Kebbi Ouest, Sila, Logone Occidental, N'Djamena city, Lake, Kanem; Tibesti, Lac, Mayo-Kebbi Est, Mandoul, Tandjilé, Batah, Guera, Salamat, Ennedi West, Borkou, Ennedi East",Heavy rains,,,2024-08-01,2024-09-30,60
Flood,Flood (General),IND,India,Southern Asia,Asia,"Mandi, Kullu, Shimla districts (Himachal Pradesh)",Heavy rains,,,2024-07-31,2024-08-23,23
