Flood_ID,DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update,Start Date,End Date,Duration
12,2025-1063-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2025-000225,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ardabil, Azarbayejan Sharghi, Bushehr, Chaharmahal and Bakhtiari, Esfahan, Fars, Ghom, Golestan, Hamedan, Hormozgan, Kerman, Khorasan Jonoubi, Khorasan Razavi, Khorasan Shomali, Khuzestan, Kohgiluyeh va boyerahma, Kurdistan, Markazi, Mazandaran, Semnan, Sistan-o baluchestan, Yazd, Zanjan",,Flood|Lightening,No,No,No,,,Km2,,,,7.0,19.0,42112.0,,42131.0,,,,,,,,,"[{""gid_1"":""IRN.10_1"",""name_1"":""Hamadan""},{""gid_1"":""IRN.11_1"",""name_1"":""Hormozgan""},{""gid_1"":""IRN.13_1"",""name_1"":""Kerman""},{""gid_1"":""IRN.15_1"",""name_1"":""Khuzestan""},{""gid_1"":""IRN.16_1"",""name_1"":""Kohgiluyeh and Buyer Ahmad""},{""gid_1"":""IRN.17_1"",""name_1"":""Kordestan""},{""gid_1"":""IRN.19_1"",""name_1"":""Markazi""},{""gid_1"":""IRN.20_1"",""name_1"":""Mazandaran""},{""gid_1"":""IRN.21_1"",""name_1"":""North Khorasan""},{""gid_1"":""IRN.23_1"",""name_1"":""Qom""},{""gid_1"":""IRN.24_1"",""name_1"":""Razavi Khorasan""},{""gid_1"":""IRN.25_1"",""name_1"":""Semnan""},{""gid_1"":""IRN.26_1"",""name_1"":""Sistan and Baluchestan""},{""gid_1"":""IRN.27_1"",""name_1"":""South Khorasan""},{""gid_1"":""IRN.2_1"",""name_1"":""Ardebil""},{""gid_1"":""IRN.30_1"",""name_1"":""Yazd""},{""gid_1"":""IRN.31_1"",""name_1"":""Zanjan""},{""gid_1"":""IRN.3_1"",""name_1"":""Bushehr""},{""gid_1"":""IRN.4_1"",""name_1"":""Chahar Mahall and Bakhtiari""},{""gid_1"":""IRN.5_1"",""name_1"":""East Azarbaijan""},{""gid_1"":""IRN.6_1"",""name_1"":""Esfahan""},{""gid_1"":""IRN.7_1"",""name_1"":""Fars""},{""gid_1"":""IRN.9_1"",""name_1"":""Golestan""}]",2025-12-23,2026-01-15,2025-12-15,2025-12-22,7
13,2025-1048-MAR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2025-000223,,MAR,Morocco,Northern Africa,Africa,Safi province (Marrakesh-Safi region); Tinghir province (Drâa-Tafilalet region),Heavy rain,,No,No,No,,,Km2,,,,52.0,38.0,2800.0,,2838.0,,,,,,,,,,2025-12-17,2026-01-06,2025-12-14,2025-12-14,0
14,2025-1047-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,Terengganu and Pahang,Heavy rain,,No,No,No,,,Km2,,,,,,2103.0,,2103.0,,,,,,,,,,2025-12-17,2025-12-19,2025-12-14,2025-12-17,3
15,2025-1050-BOL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, La Guardia and Cotoca municipalities (Santa Cruz department); Beni, Cochabamba",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Piraí and Espejos rivers,30.0,142.0,10500.0,,10642.0,,,,,36000.0,,,,,2025-12-17,2025-12-19,2025-12-12,2025-12-16,4
16,2025-1040-IRQ,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2025-000222,,IRQ,Iraq,Western Asia,Asia,"Ninawa, Sulaymaniyah, Erbil, and Kirkuk governorates",,,No,No,No,,,Km2,,,,6.0,19.0,16230.0,,16249.0,,,,,,,,,,2025-12-11,2026-01-06,2025-12-09,2025-12-12,3
17,2025-0996-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000211,,MYS,Malaysia,South-eastern Asia,Asia,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",Torrential rain,,No,No,No,,,Km2,,,,3.0,,18700.0,,18700.0,,,,,,,,,,2025-11-27,2025-12-12,2025-11-22,2025-12-03,11
18,2025-0979-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000209,,THA,Thailand,South-eastern Asia,Asia,"Phra Nakhon Si Ayutthaya province; Tha Din Daeng subdistrict in Bangkok; Chaiya and Kathu districts (Malay Peninsula); hitsanulok, Nakhon Sawan, Uthai Thani, Sing Buri, Chainat, Ang Thong, Suphan Buri, Pathum Thani, Nonthaburi and Nakhon Pathom provinces; Surat Thani, Nakhon Si Thammarat, Trang, Phatthalung, Satun, Songkhla, Pattani, Yala, Narathiwat Prachuap Khiri Khan, Chumphon, Krabi",Heavy rain,,No,No,No,,,Km2,,,,276.0,5.0,4000000.0,,4000005.0,,,,,15600000.0,,,,,2025-11-21,2025-12-12,2025-11-15,2025-11-27,12
19,2025-0966-COD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Kinshasa capital city area,Heavy rain,,No,No,No,,,Km2,,,"N'djili, Nsanga and Makelele rivers",10.0,153.0,99138.0,,99291.0,,,,,,,,,,2025-11-14,2025-12-02,2025-11-11,2025-11-12,1
20,2025-0936-IDN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IDN,Indonesia,South-eastern Asia,Asia,Nduga district (Papua province),Torrential rain,,No,No,No,,,Km2,,,,23.0,,23.0,,23.0,,,,,,,,,,2025-11-04,2025-12-05,2025-11-01,2025-11-02,1
21,2025-1007-CRI,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Alajuela; Cartago; Cuajiniquil, Santa Cruz Veintisiete de Abril, Santa Cruz, Tempate, Santa Cruz, Tamarindo, Nosara, Nicoya (Guanacaste); Sierpe de Osa, Puerto Jiménez, Bahía Drake, Corredor, Corredores, Guaycará, Golfito, Jacó, Garabito (Puntarenas)",Indirect effects of Tropical Storm Melissa,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,,,400000.0,,400000.0,,,,,,,,,,2025-11-28,2026-02-11,2025-10-25,2025-10-31,6
22,2025-0898-HND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,HND,Honduras,Latin America and the Caribbean,Americas,"Francisco Morazán, La Paz, Intibucá, and Lempira departments",Heavy rain,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,16.0,,34073.0,,34073.0,,,,,,,,,,2025-10-20,2025-10-24,2025-10-17,2025-10-20,3
23,2025-0865-MEX,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MEX,Mexico,Latin America and the Caribbean,Americas,"Veracruz, Puebla, Hidalgo, San Luis Potosí, and Querétaro states","Heavy rains, remnants of Hurricane Priscilla and Tropical Storm Raymond","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,107.0,,211335.0,,211335.0,,,,,,,,,,2025-10-16,2025-10-23,2025-10-06,2025-10-09,3
24,2025-0858-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Ilam district (Koshi province); Jhapa District,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,57.0,47.0,20295.0,,20342.0,,,,,,,,,,2025-10-07,2025-10-20,2025-10-03,2025-10-05,2
25,2025-0859-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Darjeeling (West Bengal); Bihar states,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,32.0,13.0,,2500.0,2513.0,,,,,2200.0,,,,,2025-10-07,2025-10-20,2025-10-03,2025-10-07,4
26,2025-0852-BGR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGR,Bulgaria,Eastern Europe,Europe,Elenite (Burgas province),Heavy rains,,No,No,Yes,,,Km2,,,,4.0,,100.0,,100.0,,,,,,,,,,2025-10-03,2025-10-07,2025-10-03,2025-10-03,0
27,2025-0847-KHM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,KHM,Cambodia,South-eastern Asia,Asia,Mondulkiri and Ratanakiri provinces,Heavy rains,,No,No,No,,,Km2,,,,,,67000.0,,67000.0,,,,,,,,,,2025-10-02,2026-01-06,2025-10-01,2025-10-02,1
28,2025-0848-UKR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,UKR,Ukraine,Eastern Europe,Europe,Odesa city (Odesa Oblast),Heavy rains,,No,No,Yes,,,Km2,,,,9.0,,2010.0,,2010.0,,,,,,,,,,2025-10-02,2025-10-06,2025-09-30,2025-09-30,0
29,2025-0878-GEO,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2025-000185,,GEO,Georgia,Western Asia,Asia,Lagodekhi (Kakheti municipality),Heavy rains,,No,No,No,,,Km2,,,,,,20000.0,,20000.0,,,,,,,,,,2025-10-16,2025-11-04,2025-09-28,2025-10-06,8
30,2025-0798-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,THA,Thailand,South-eastern Asia,Asia,"Ayutthaya, Phichit, and Phetchabun",Heavy rain,,No,No,No,,,Km2,,,Chao Praya River basin,4.0,,250000.0,,250000.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-23,2025-09-24,1
31,2025-0799-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Central Papua and East Java,Heavy rain,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,1.0,7.0,220.0,,227.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-19,2025-09-20,1
32,2025-0820-HTI,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000174,,HTI,Haiti,Latin America and the Caribbean,Americas,"Chansolme, Port-de-Paix communes",Heavy ains,,No,No,No,,,Km2,,,,1.0,1.0,4115.0,,4116.0,,,,,,,,,,2025-09-29,2025-09-30,2025-09-16,2025-09-17,1
33,2025-0803-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Dehradun, Champawat, Haridwar, Pauri Garhwal, Bageshwar, Pithoragarh, Nainital, and Udham Singh Nagar districts (Uttarakhand State)",,"Lightening|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,33.0,,900.0,,900.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-15,2025-09-17,2
34,2025-0810-GMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GMB,Gambia,Sub-Saharan Africa,Africa,North Bank region,Heavy rain,,No,No,No,,,Km2,,,,8.0,67.0,10700.0,,10767.0,,,,,,,,,,2025-09-26,2025-09-29,2025-09-10,2025-09-11,1
35,2025-0791-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MYS,Malaysia,South-eastern Asia,Asia,Sarawak and Sabah states (Borneo Island),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,13.0,,3134.0,,3134.0,,,,,,,,,,2025-09-12,2025-09-29,2025-09-08,2025-09-15,7
36,2025-0783-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Gianyar, Karangasem, Jembrana, Tabanan, Klungkung, and Badung, with Denpasar (Bali); Flores",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,19.0,,562.0,,562.0,,,,,,,,,,2025-09-12,2025-09-29,2025-09-08,2025-09-12,4
37,2025-0843-SLE,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FL-2025-000169,,SLE,Sierra Leone,Sub-Saharan Africa,Africa,"Bonthe, Kenema, Bo, Moyamba, Kono, Falaba, and Koinadugu",Heavy rains,,No,No,No,,,Km2,,,,,,11080.0,,11080.0,,,,,,,,,,2025-09-30,2025-12-03,2025-08-31,2025-09-05,5
38,2025-0792-GMB,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GMB,Gambia,Sub-Saharan Africa,Africa,"West Coast region, Lower River regions, and Kanifing Municipality (West Banjul region)",Heavy rains,,No,No,No,,,Km2,,,Upper River and Central River regions,1.0,50.0,10560.0,,10610.0,,,,,,,,,,2025-09-12,2026-02-02,2025-08-30,2025-09-09,10
39,2025-0735-SDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,SDN,Sudan,Northern Africa,Africa,"River Nile, Sennar States",Heavy rains,,No,No,No,,,Km2,,,,32.0,,10000.0,,10000.0,,,,,,,,,,2025-08-28,2025-09-05,2025-08-27,2025-08-28,1
